"Department Profile","Year","Date","Event","12:00:00 AM","01:00:00 AM","02:00:00 AM","03:00:00 AM","04:00:00 AM","05:00:00 AM","06:00:00 AM","07:00:00 AM","08:00:00 AM","09:00:00 AM","10:00:00 AM","11:00:00 AM","12:00:00 PM","01:00:00 PM","02:00:00 PM","03:00:00 PM","04:00:00 PM","05:00:00 PM","06:00:00 PM","07:00:00 PM","08:00:00 PM","09:00:00 PM","10:00:00 PM","11:00:00 PM"
"D",2018,"Friday","Summerfest",12.1,8.2,5.9,7,7,6.6,4.6,4.5,12.8,12.4,22.2,23,32.4,17.3,29.5,16.8,20.5,31.5,20.2,29.4,19.7,26.7,22.3,20.6
"D",2018,"Saturday","Summerfest",24.3,11.3,14.2,12.3,5.2,7.8,10.9,8.5,15.4,24.2,22.5,13.2,19.1,25.7,27.5,22,27,24.5,23.5,20.2,27.4,21.5,13.1,25.8
"D",2018,"Sunday","Summerfest",10.9,11.2,8.3,7.9,8.2,9.4,9.4,7.4,15.8,34.1,18.6,27.9,33,37.9,26.6,28.5,26.5,25.6,30.7,31.7,24.7,26.5,18.7,14.4
"E",2018,"Monday",,4.5,3.6,2.3,3,3.6,3.2,4.6,7.5,7.2,9.1,10.5,9.9,10.1,12,9.8,9.5,8.6,8.8,9.1,7.8,5.9,4.6,4.5,4.4
"E",2018,"Tuesday",,2.7,2.7,2.5,2.8,2.5,3.1,3,5.9,7.7,8.4,7.8,9.7,8.8,8.6,8.6,7.7,7.3,7.9,8,6.4,7.5,4.8,4.1,4.2
"E",2018,"Wednesday",,3.5,1.8,2.2,1.7,2.3,4.1,4.1,5.1,6.5,8.4,9.2,10,8.1,8.9,7.9,8.1,7.9,8.8,8.5,7,6.2,5.6,3.8,3.1
"E",2018,"Thursday",,3.6,2.6,2.1,3.3,2.5,2,3.1,6.2,6.5,8.7,10.9,9.1,7.9,7.9,10,6.5,7.9,8.6,7.6,7.6,5.8,5.3,3.7,2.7
"E",2018,"Friday",,2.3,2.8,2.2,3.4,2.4,2.4,5.2,5,5.4,8.6,9.7,10,9.5,8.4,10.9,9,7.2,6.8,6.4,6.5,7.4,5.6,5.5,2.7
"E",2018,"Saturday",,3,3.1,3.2,3.7,3.6,3.8,3.1,4.7,6.3,10.1,9.1,8.9,8.3,7.3,7.7,6.8,5.9,6.4,6.7,6.5,5.2,4.6,3.8,3.4
"E",2018,"Sunday",,3.5,2,1.8,2.5,3.5,4.8,4.2,5.9,6.9,7.2,8.7,8.1,7.2,7.1,7.9,6.9,6,6.1,6.2,6.3,6.6,5.6,5.1,2.8
"F",2018,"Monday",,14.9,3.7,2.8,2.7,2,3.6,4.4,8.2,9.1,12.1,10.9,11.2,10.9,10.2,10.3,10.2,11.4,9.6,9.2,8.1,7.7,7.2,6.1,4.3
"F",2018,"Tuesday",,16.1,2.9,3.1,3.1,3.2,3,4.3,5.2,9.6,10.4,10.2,10.1,9.9,9.8,9.9,9.4,10.3,9.3,10,8.4,8.9,6.8,5.9,5.4
"F",2018,"Wednesday",,15.5,3.6,3.2,2.3,2.8,3.9,4.2,5.9,9.2,10.7,10.1,11.4,11.4,9.4,9.3,10,9.3,10.1,9.2,8.3,8.8,7.2,6.6,5.4
"F",2018,"Thursday",,15.8,3.1,2.6,2.8,2.7,2.8,3.9,4.2,8.2,11.1,10.2,11.7,10.3,8.9,9.9,8.8,9.4,9.1,8.1,7.8,7.5,6.9,5,4.4
"F",2018,"Friday",,14.1,3.9,2.9,2.3,2.8,2.9,2.8,6.7,8.3,10.2,10,9.4,9.6,11.1,8.8,9.5,8.6,8.6,9.3,8.3,8.8,6.4,6.1,4.9
"F",2018,"Saturday",,13.1,4,3.9,3.6,2.8,2.7,3.4,6.3,6.8,8.2,9.7,9.6,9.4,9.5,8.3,7.6,8,7.9,7.5,8.1,7.2,5.3,5.5,4
"F",2018,"Sunday",,13.2,3.1,3.1,3.6,3.4,2.8,2.9,7,6.9,8.6,8.8,9.3,8.1,9.6,8.9,8.9,9.2,8.9,8.4,7.7,7.8,6.5,5.1,6.2
"G",2018,"Monday",,22.9,16.7,14.2,9.2,9.2,10.5,10.4,18.4,22,25.2,27.9,31.2,28.6,26.2,27.2,26.2,27.8,24,22.5,29,23.6,21,17.3,18.8
"G",2018,"Tuesday",,25.9,15.7,11.3,9.8,7.8,8.3,11.5,17.8,17.8,27.3,29.6,29.5,27.9,25.4,27.2,24.4,25.8,23.6,24.1,28.1,27.2,21.8,20.5,17.8
"G",2018,"Wednesday",,22.6,15.7,9.9,8.4,9.5,10.2,11.4,19.1,19.3,26,28.5,26.8,26.3,24.7,25.1,25.8,25.9,27.5,22.9,29.2,25.5,21.6,19.7,16.9
