"Department Profile","Year","Date","Event","12:00:00 AM","01:00:00 AM","02:00:00 AM","03:00:00 AM","04:00:00 AM","05:00:00 AM","06:00:00 AM","07:00:00 AM","08:00:00 AM","09:00:00 AM","10:00:00 AM","11:00:00 AM","12:00:00 PM","01:00:00 PM","02:00:00 PM","03:00:00 PM","04:00:00 PM","05:00:00 PM","06:00:00 PM","07:00:00 PM","08:00:00 PM","09:00:00 PM","10:00:00 PM","11:00:00 PM"
"B",2018,"Friday",,4.8,3.2,1.9,1.7,2.5,2,2.6,3.9,5.5,7.3,8.3,9.9,8.9,8.6,8.8,8.4,9.3,9.1,9.6,9.6,19.2,7.3,7.1,4.5
"B",2018,"Saturday",,5.7,3.2,2.6,2.3,1.9,2,2.4,3.3,4.8,6.6,8.7,8.4,9.4,8.8,8.3,8.2,7.5,7.3,7.5,7.1,19.1,7.4,6.4,5
"B",2018,"Sunday",,5.9,4,2.6,2.3,2.5,2.2,2.9,3.4,5.2,6.8,8,9.2,8.6,8.5,8.3,8.3,8.3,7,7.8,8.3,19.7,7.3,5.9,4.9
"C",2018,"Monday",,2.4,1.4,1.2,1.1,1.3,1.3,2.1,3.1,3.5,4.3,4.9,5.1,4.8,4.3,3.7,4.3,4.5,4.5,3.8,4.5,3.3,3.1,2.1,2.2
"C",2018,"Tuesday",,2.7,1.6,1.2,1,1.2,1.1,1.8,2.9,3.3,3.7,4,4.1,4.1,4,4.1,3.9,4.7,4.2,4.6,4.2,4.2,3.5,2.4,1.8
"C",2018,"Wednesday",,2.6,1.5,1.1,0.8,1.1,1.2,2,2.6,3.1,4.4,4.1,4.3,4.8,4,4.4,4.2,4.3,4.1,4.6,3.8,4.4,3.5,2.1,2
"C",2018,"Thursday",,2.7,1.5,0.9,1.1,1.3,1.2,2,2.2,3.5,3.9,3.7,3.8,4.4,4.4,3.9,4.4,4.3,4.6,4.1,3.5,3.9,3.3,2.5,2.1
"C",2018,"Friday",,2.4,1.3,1.1,1,1,0.8,1.4,2.6,3,3.4,3.8,4.3,4.4,4.5,4,4.1,4.7,4.2,4,4,3.6,2.9,2.3,1.8
"C",2018,"Saturday",,2.8,1.8,1,1,1.2,0.8,1.6,2.2,3.2,4,4.4,4.9,4.5,4.2,3.5,4,4.2,3.7,3.9,3.8,3.4,2.9,2.5,1.9
"C",2018,"Sunday",,2.6,1.4,1,1.3,1.3,0.9,2,2.3,2.8,3.6,4.6,4,4.6,4.5,3.6,4.4,4.4,3.9,3.8,4,4.1,2.8,2.9,2
"D",2018,"Monday",,5.4,4.9,4.5,3.9,3.5,4.1,3.8,6,7.4,9.9,11,11.5,11.2,11,10.8,8.9,9.5,10.2,9.8,9.4,8.8,8.9,7.6,6.1
"D",2018,"Tuesday",,5.4,4.5,3,3.9,3.3,3.8,4.9,6.3,8.7,9.9,10,10,9.8,9.8,9.5,9.3,9.6,9.2,10.3,9,8.6,8.1,6.4,6.1
